"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 21:56:33 GMT 2024","Wed Apr 03 21:56:35 GMT 2024","2806","firefox","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 21:57:24 GMT 2024","Wed Apr 03 21:57:29 GMT 2024","5598","webkit","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
"passed","Wed Apr 03 21:55:52 GMT 2024","Wed Apr 03 21:55:56 GMT 2024","3551","chromium","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 21:57:10 GMT 2024","Wed Apr 03 21:57:17 GMT 2024","7279","webkit","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 21:56:51 GMT 2024","Wed Apr 03 21:56:52 GMT 2024","1426","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man characters of a specified comic",""
"passed","Wed Apr 03 21:56:03 GMT 2024","Wed Apr 03 21:56:04 GMT 2024","1222","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch less than 1 X-Man character of a specified comic",""
"passed","Wed Apr 03 21:55:37 GMT 2024","Wed Apr 03 21:55:42 GMT 2024","4462","chromium","UI/login.spec.js","Login Tests","","","Login with invalid credentials",""
"passed","Wed Apr 03 21:57:46 GMT 2024","Wed Apr 03 21:57:51 GMT 2024","4694","webkit","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 21:55:17 GMT 2024","Wed Apr 03 21:55:24 GMT 2024","7005","chromium","UI/cart.spec.js","Cart Tests","","","Remove product from cart",""
"passed","Wed Apr 03 21:57:51 GMT 2024","Wed Apr 03 21:57:56 GMT 2024","4913","webkit","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 21:56:22 GMT 2024","Wed Apr 03 21:56:26 GMT 2024","4150","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 21:57:17 GMT 2024","Wed Apr 03 21:57:24 GMT 2024","7024","webkit","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 21:55:15 GMT 2024","Wed Apr 03 21:55:16 GMT 2024","976","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 21:57:00 GMT 2024","Wed Apr 03 21:57:01 GMT 2024","808","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 21:55:06 GMT 2024","Wed Apr 03 21:55:08 GMT 2024","1564","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man characters of a specified comic",""
"passed","Wed Apr 03 21:56:54 GMT 2024","Wed Apr 03 21:56:55 GMT 2024","1198","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 21:55:59 GMT 2024","Wed Apr 03 21:56:01 GMT 2024","1556","firefox","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 21:56:01 GMT 2024","Wed Apr 03 21:56:01 GMT 2024","325","firefox","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch more than 100 characters",""
"passed","Wed Apr 03 21:55:12 GMT 2024","Wed Apr 03 21:55:15 GMT 2024","2707","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 21:56:18 GMT 2024","Wed Apr 03 21:56:22 GMT 2024","4310","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 21:56:09 GMT 2024","Wed Apr 03 21:56:11 GMT 2024","2758","firefox","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 21:56:12 GMT 2024","Wed Apr 03 21:56:13 GMT 2024","719","firefox","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
